month,exercise,exercise_template_id,max_volume_kg,max_weight_kg,e1rm_kg
2019-11,Back Pulldown Machine,dd49e147-58a9-4f6b-888a-01eee4d0906b,480.00,40.00,56.00
2019-11,Bench Press,f8a3998a-8d21-4c87-964a-6d9cbe80783e,600.00,50.00,70.00
2019-11,Bicep Curl Machine,c216730a-7ba2-4beb-af07-bf85cfc12ae9,64.00,8.00,10.13
2019-11,Cable Crossovers,9bfee4e8-dec2-4a26-9195-30e97d169cbd,132.00,11.25,15.40
2019-11,Cable Row,533143fd-6d6f-4c85-8b91-5be4dcd72dbe,456.00,38.00,53.20
2019-11,Dumbbell Lateral Raises,b65e3550-0679-449e-bbed-b5e23e040979,60.00,10.00,12.00
2019-11,Dumbbell Press,2fa7e7f2-edf5-4c8b-9506-0faa1d8e7cb1,112.00,16.00,19.73
2019-11,Dumbbell Row,F1E57334,112.00,14.00,17.73
2019-11,Incline Dumbbell Press,96ecab88-6a52-496b-8e61-9a7b1c9b7fa6,192.00,20.00,23.33
2019-11,Machine Chest Press,2a731c4f-d1b5-4e9c-a58d-0556519ce4cd,480.00,40.00,56.00
2019-11,Pulldowns,6702a6a1-ac73-457b-8d17-11053ddd2dc6,384.00,32.00,44.80
2019-11,Shoulder Dumbbell Press,c08aa407-f350-43ae-a868-3117879a8fe6,162.00,18.00,23.40
2019-11,Shoulder Press Machine,4d7e5668-5480-4419-848f-ce49e08a8d20,300.00,25.00,35.00
2019-11,Shrugs,bb819cc3-09f9-4930-adf6-3411a4123ab4,216.00,18.00,25.20
2019-11,Triceps Cable Pushdown,7cd7ad01-175b-461d-9fa6-e551d1d8085b,216.00,18.00,25.20
2019-11,Upper Back Row Machine,85d98af9-e571-43b0-b48f-d9a6fc68bebe,420.00,35.00,49.00
2019-11,Upright Rows Cable,1235d2e2-0cec-45b2-8178-e0360424f066,160.00,20.00,25.33
2019-12,Bench Press,f8a3998a-8d21-4c87-964a-6d9cbe80783e,550.00,55.00,73.33
2019-12,Cable Crossovers,9bfee4e8-dec2-4a26-9195-30e97d169cbd,132.00,18.00,21.60
2019-12,Dumbbell Lateral Raises,b65e3550-0679-449e-bbed-b5e23e040979,96.00,8.00,11.20
2019-12,Incline Dumbbell Press,96ecab88-6a52-496b-8e61-9a7b1c9b7fa6,144.00,18.00,22.80
2019-12,Shoulder Dumbbell Press,c08aa407-f350-43ae-a868-3117879a8fe6,168.00,14.00,19.60
2019-12,Shrugs,bb819cc3-09f9-4930-adf6-3411a4123ab4,216.00,18.00,25.20
2019-12,Single Cable Lateral Raise,8b9b7879-1b97-4ad7-ae84-bfc38c222974,66.00,5.50,7.70
2019-12,Triceps Cable Pushdown,7cd7ad01-175b-461d-9fa6-e551d1d8085b,216.00,18.00,25.20
2019-12,Upright Rows Cable,1235d2e2-0cec-45b2-8178-e0360424f066,240.00,20.00,28.00
2020-01,Bench Press,f8a3998a-8d21-4c87-964a-6d9cbe80783e,600.00,60.00,80.00
2020-01,Bicep Curls,85ed6395-a85a-495b-a003-5d7022d47e05,120.00,10.00,14.00
2020-01,Cable Crossovers,9bfee4e8-dec2-4a26-9195-30e97d169cbd,132.00,11.00,15.40
2020-01,Cable Row,533143fd-6d6f-4c85-8b91-5be4dcd72dbe,624.00,52.00,72.80
2020-01,Dumbbell Row,F1E57334,192.00,16.00,22.40
2020-01,Incline Dumbbell Press,96ecab88-6a52-496b-8e61-9a7b1c9b7fa6,240.00,20.00,28.00
2020-01,Pulldowns,6702a6a1-ac73-457b-8d17-11053ddd2dc6,624.00,52.00,72.80
2020-01,Triceps Cable Pushdown,7cd7ad01-175b-461d-9fa6-e551d1d8085b,300.00,25.00,35.00
2020-02,Bench Press,f8a3998a-8d21-4c87-964a-6d9cbe80783e,720.00,60.00,84.00
2020-02,Bicep Curls,85ed6395-a85a-495b-a003-5d7022d47e05,144.00,12.00,16.80
2020-02,Cable Crossovers,9bfee4e8-dec2-4a26-9195-30e97d169cbd,216.00,18.00,25.20
2020-02,Cable Curl,30bfcce9-e078-41a1-8f38-aaf7959a1cdf,132.00,11.00,15.40
2020-02,Cable Row,533143fd-6d6f-4c85-8b91-5be4dcd72dbe,792.00,66.00,92.40
2020-02,Dumbbell Flies,bd9919cc-b9d1-4f16-8559-a3bbf3916ccf,140.00,10.00,14.67
2020-02,Dumbbell Row,F1E57334,216.00,18.00,25.20
2020-02,Incline Dumbbell Press,96ecab88-6a52-496b-8e61-9a7b1c9b7fa6,240.00,22.00,29.33
2020-02,Pulldowns,6702a6a1-ac73-457b-8d17-11053ddd2dc6,792.00,66.00,92.40
2020-02,Triceps Cable Pushdown,7cd7ad01-175b-461d-9fa6-e551d1d8085b,300.00,25.00,35.00
2020-04,Barbell Curl,90189533-ff3a-4b56-b831-3ffdcde57597,240.00,20.00,28.00
2020-04,Barbell Row,b1229291-ca75-4b24-8dcf-7a1dc908aeb6,240.00,20.00,28.00
2020-04,Bench Press,f8a3998a-8d21-4c87-964a-6d9cbe80783e,600.00,30.00,50.00
2020-04,Dumbbell Flies,bd9919cc-b9d1-4f16-8559-a3bbf3916ccf,145.00,5.00,9.83
2020-04,Dumbbell Lateral Raises,b65e3550-0679-449e-bbed-b5e23e040979,60.00,5.00,7.00
2020-04,Dumbbell Row,F1E57334,120.00,10.00,14.00
2020-04,Military Press,fda0660f-f313-4233-b540-6840edf9229e,160.00,20.00,25.33
2020-04,Upright Barbell Row,d2a104bf-0371-41ca-96fb-1a466e628f64,400.00,40.00,53.33
2021-08,Back Extension (Weighted Hyperextension),091737FA,140.00,20.00,24.67
2021-08,Bench Press (Dumbbell),3601968B,300.00,27.50,35.00
2021-08,Bent Over Row - Underhand (Barbell),0efd8f75-77bd-4745-8ef9-012b4f40f404,600.00,90.00,96.00
2021-08,Bent Over Row (Barbell),55E6546F,720.00,60.00,84.00
2021-08,Bent Over Row (Cable),f7f5c21a-094d-4c46-b27e-43ad0ac8c534,255.00,28.75,36.42
2021-08,Bicep Curl (Dumbbell),37FCC2BB,180.00,17.50,21.58
2021-08,Cable Crunch,23A48484,525.00,26.25,43.75
2021-08,Cable Fly (Lower),995d2e07-5f8d-47e1-809f-5f2107faa6d8,90.00,11.25,14.25
2021-08,Cable Pull Through,8C331CD8,225.00,21.25,28.33
2021-08,Cable Twist (Up to down),A2D838BD,281.25,21.25,29.75
2021-08,Chest Fly (Machine),78683336,1088.00,77.00,107.80
2021-08,Chin Up (Assisted),D23C609B,1200.00,100.00,140.00
